#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
7074701|2016-08-24T02:07:30.340000|42.6632|13.2957|6.4|BULLETIN-INGV||||ML|3.8|--|4 km N Amatrice (RI)|earthquake
7074781|2016-08-24T02:08:04.800000|42.7918|13.1437|10.2|BULLETIN-INGV||||ML|3.2|--|4 km E Norcia (PG)|earthquake
7074801|2016-08-24T02:09:08.810000|42.6228|13.2665|10.2|BULLETIN-INGV||||ML|2.7|--|2 km W Amatrice (RI)|earthquake
7074841|2016-08-24T02:09:56.600000|42.7352|13.1897|11.4|BULLETIN-INGV||||ML|2.9|--|7 km NW Accumoli (RI)|earthquake
7074971|2016-08-24T02:10:37.790000|42.718|13.2885|9.9|BULLETIN-INGV||||ML|2.7|--|4 km NE Accumoli (RI)|earthquake
7075001|2016-08-24T02:10:56.030000|42.7558|13.1927|9.5|BULLETIN-INGV||||ML|3.6|--|8 km NW Accumoli (RI)|earthquake
7075081|2016-08-24T02:12:12.210000|42.8068|13.1488|8.9|BULLETIN-INGV||||ML|3.5|--|5 km E Norcia (PG)|earthquake
7075121|2016-08-24T02:13:10.060000|42.7035|13.2273|6.2|BULLETIN-INGV||||ML|2.7|--|2 km W Accumoli (RI)|earthquake
7075191|2016-08-24T02:13:57.320000|42.7678|13.1538|9.3|BULLETIN-INGV||||ML|3.8|--|6 km SE Norcia (PG)|earthquake
7075241|2016-08-24T02:15:15.420000|42.8002|13.1663|7.5|BULLETIN-INGV||||ML|3.7|--|6 km E Norcia (PG)|earthquake
7075321|2016-08-24T02:16:30.020000|42.6753|13.2607|12.1|BULLETIN-INGV||||ML|2.7|--|2 km SE Accumoli (RI)|earthquake
7075371|2016-08-24T02:19:43.960000|42.6403|13.2362|10.4|BULLETIN-INGV||||ML|3.8|--|4 km W Amatrice (RI)|earthquake
7075531|2016-08-24T02:22:39.630000|42.7293|13.2038|10.6|BULLETIN-INGV||||ML|2.8|--|5 km NW Accumoli (RI)|earthquake
7075521|2016-08-24T02:23:16.950000|42.75|13.2458|10.5|BULLETIN-INGV||||ML|3.2|--|5 km SW Arquata del Tronto (AP)|earthquake
